sample_id,wpm,word_count,duration_sec,whisper_transcript,pitch_mean,pitch_variability,energy_mean,jitter,shimmer,spectral_centroid,tone_label,tone_score,filler_ratio
test_0141,160.71,42,15.68,"However, there is a political battle in our country. And the coal industry and the oil industry spent a quarter of a billion dollars in the last calendar year promoting clean coal, which is an oxymoron. That image reminded me of something.",192.59,0.525,0.116745,0.155447,0.179106,1639.05,hap,0.4397,0.0
test_0142,192.31,50,15.6,"around Christmas, in my home in Tennessee, a billion gallons of coal sludge was spilled. He probably saw it on the news. This all over the country is the second largest waste stream in America. This happened around Christmas. One of the coal industry's ads around Christmas was this one.",178.57,0.5381,0.123117,0.159777,0.187918,1790.83,neu,0.4041,0.0
test_0143,188.57,22,7.0,This is the source of much of the coal in West Virginia. The largest mountain top minor is the head of Massicole.,155.8,0.4313,0.144803,0.16946,0.138284,1413.11,neu,0.4197,0.0
test_0144,191.25,51,16.0,But this understates the seriousness of this particular problem because it doesn't show the thickness of the ice. The Arctic ice cap is in a sense of the beating heart of the global climate system. It expands in winter and contracts in summer. The next slide I show you will be,152.11,0.5989,0.101242,0.177509,0.181294,1763.56,hap,0.5549,0.0
test_0145,154.29,18,7.0,"Let me be clear about Al Gore, Nancy Pelosi, Harry Reid. They don't know what they're talking about.",213.94,0.6211,0.120414,0.234443,0.150756,1703.72,neu,0.5202,0.0
test_0146,193.55,20,6.2,So the Alliance for Climate Protection has launched a two-campaign. This is one of them. Part of one of them.,158.97,0.323,0.122088,0.092618,0.185225,1675.96,neu,0.6571,0.05
test_0147,189.23,41,13.0,We view climate change as a very serious threat to our business. That's why we've made it our primary goal to spend a large sum of money on an advertising effort to help bring out and complicate the truth about goal.,220.83,0.6953,0.122612,0.323594,0.135733,2015.9,ang,0.5918,0.0
test_0148,191.86,11,3.44,"The fact that this coal isn't dirty, we think it's clean.",196.07,0.5321,0.158418,0.223568,0.126118,1773.08,sad,0.3995,0.0
test_0149,150.0,11,4.4,So don't worry about climate change. Leave that up to us.,139.58,0.6391,0.178324,0.181948,0.073996,1578.9,sad,0.9094,0.0909
test_0150,188.57,22,7.0,clean coal. It heard a lot about it. So let's take a tour of the state of the art clean coal facility.,223.34,0.5316,0.131356,0.162654,0.162281,2167.74,hap,0.66,0.0455
test_0151,191.08,40,12.56,"a rapid fast forward of what's happened over the last 25 years. The permanent ice is marked in red. And as you see, it expands to the dark blue. That's the annual ice and winter and it contracts in summer.",152.68,0.5578,0.101209,0.151748,0.189144,1633.79,hap,0.488,0.0
test_0152,143.38,13,5.44,Amazing! Machinery's got a loud! But that's the sound of clean code technology!,351.49,0.2611,0.134867,0.086492,0.112048,2189.85,hap,0.9101,0.0
test_0153,178.38,22,7.4,"And while Burning Cole is one of the leading causes of global warming, the remarkable clean-cold technology you see here changes everything.",334.45,0.2562,0.16547,0.10033,0.129454,2394.27,hap,0.9481,0.0
test_0154,173.68,11,3.8,"Take a good one, look. This is today's clean call technology.",279.85,0.3678,0.129701,0.182816,0.155387,1803.03,hap,0.9755,0.0
test_0155,140.0,14,6.0,"Finally, the positive alternative meshes with our economic challenge and our national security challenge.",162.12,0.5042,0.123181,0.19069,0.18754,1608.81,neu,0.7007,0.0
test_0156,130.95,11,5.04,"America is in crisis, the economy, national security, the climate crisis.",123.0,0.3638,0.198383,0.116717,0.077581,2525.28,sad,0.7392,0.0
test_0157,206.11,18,5.24,The thread that links them all are a fiction to carbon-based fuels like dirty coal and foreign oil.,120.58,0.3333,0.2139,0.093236,0.084999,1902.71,sad,0.9293,0.0556
test_0158,227.68,17,4.48,But now there's a bold new solution to get us out of this mess. We power America.,117.58,0.2597,0.230239,0.076882,0.062235,2524.24,sad,0.7642,0.0
test_0159,171.43,24,8.4,"With 100% clean electricity within 10 years, a plan to put America back to work, make us more secure and help stop global warming.",129.18,0.4352,0.220384,0.153638,0.079584,2114.23,sad,0.7312,0.0
test_0160,166.67,20,7.2,"and the so-called permanentized five years older, you can see it's almost like blood spilling out of the body here.",165.83,0.5691,0.13247,0.176411,0.199929,1487.76,ang,0.792,0.1
test_0161,158.45,15,5.68,"Finally, a solution that's big enough to solve our problems. Repower America. Find out more.",133.35,0.3236,0.188673,0.112125,0.090042,2200.74,hap,0.4505,0.0
test_0162,197.14,23,7.0,It's about reef-hour in America. One of the fastest ways to cut our dependence on old dirty fuels that are killing our planet.,121.6,0.3384,0.18417,0.147519,0.071714,2000.53,sad,0.9914,0.0
test_0163,145.63,10,4.12,"The future's over here. When, Sun, a new energy grid.",156.87,0.5049,0.198053,0.145049,0.076878,1986.28,hap,0.5403,0.0
test_0164,120.0,6,3.0,New investments to create high-paying jobs.,149.13,0.3522,0.214195,0.142543,0.08135,2339.09,sad,0.8308,0.0
test_0165,169.92,29,10.24,"There's an old African proverb that says, if you want to go quickly, go alone. If you want to go far, go together. We need to go far quickly.",176.22,0.6408,0.095017,0.238204,0.184492,1582.78,ang,0.5068,0.0
test_0166,153.85,16,6.24,in 25 years it's gone from this to this. This is a problem because the warming,173.06,0.4694,0.11393,0.160775,0.200394,1782.03,ang,0.4626,0.0
test_0167,176.47,50,17.0,"heats up the frozen ground around the Arctic Ocean where there is a massive amount of frozen carbon, which when it thaws is turned into methane by microbes. Compared to the total amount of global warming pollution in the atmosphere, that amount could double if we cross this tipping point.",159.67,0.4198,0.120515,0.112648,0.19497,1543.72,ang,0.3859,0.0
test_0168,188.85,35,11.12,"Already in some shallow lakes in Alaska, methane is actively bubbling up out of the water. Professor Katie Walter from the University of Alaska went out with another team to another shallow lake last winter.",157.38,0.466,0.126321,0.137612,0.177641,1506.73,neu,0.4369,0.0
test_0169,197.37,20,6.08,"I want to say just a word about salad dressing, 175 salad dressings in my supermarket if you don't count.",161.93,0.3256,0.122435,0.101648,0.17803,1583.03,ang,0.8838,0.0
test_0170,186.94,42,13.48,"You could have done better with a thought, with a hundred different kinds of genes on display, there is no excuse for failure. And so when people make decisions, and even though the results of the decisions are good, they feel disappointed.",171.91,0.4025,0.098907,0.161699,0.178091,1685.07,ang,0.9199,0.0238
test_0171,169.52,66,23.36,"about them, they blame themselves. Clinical depression has exploded in the industrial world in the last generation. I believe a significant not the only, but a significant contributor to this explosion of depression and also suicide is that people have experiences that are disappointing because their standards are so high. And then when they have to explain these experiences to themselves, they think they're at fault.",174.86,0.5771,0.066901,0.143242,0.179477,1778.06,ang,0.4671,0.0152
test_0172,180.0,18,6.0,And so the net result is that we do better at in general objectively and we feel worse.,149.93,0.4926,0.107929,0.160428,0.171974,1474.1,ang,0.4887,0.0556
test_0173,171.69,19,6.64,"So, let me remind you, this is the official dogma, the one that we all take to be true.",188.66,0.6138,0.110269,0.171349,0.178236,1777.53,ang,0.494,0.0526
test_0174,145.95,18,7.4,and it's all false. It is not true. There's no question that some choice is better than none.,152.45,0.4569,0.090064,0.208577,0.222207,1951.09,ang,0.8556,0.0
test_0175,198.61,38,11.48,"but it doesn't follow from that that more choice is better than some choice. There's some magical amount, I don't know why it is. I'm pretty confident that we have long since passed the point where options improve.",155.92,0.5,0.076422,0.16312,0.200161,1792.8,ang,0.6053,0.0
test_0176,171.61,27,9.44,"our welfare. Now, as a policy matter, I'm almost done. As a policy matter, the thing to think about is this. What enables all of this choice.",174.32,0.5454,0.081741,0.204839,0.16733,1861.69,ang,0.7697,0.0
test_0177,168.37,22,7.84,in industrial societies is material affluence. There are lots of places in the world and we have heard about several of them.,142.97,0.3742,0.104699,0.145982,0.188295,1982.8,ang,0.8591,0.0
test_0178,194.56,31,9.56,"where their problem is not that they have too much choice, their problem is that they have too little. So the stuff I'm talking about is the peculiar problem of modern.",168.48,0.4164,0.096933,0.115863,0.19596,1526.61,ang,0.8352,0.0323
test_0179,144.44,26,10.8,affluent Western societies. And what is so frustrating and infuriating is this. Steve Leve talked to you yesterday about how these expensive and difficult to install.,174.35,0.4019,0.082152,0.162908,0.205809,2015.84,ang,0.6824,0.0385
test_0180,180.83,39,12.94,"The 10 extra virgin olive oils and 12 ball-samic vinegars, you could buy to make a very large number of your own salad dressings in the off-chance that none of the 175 the store has on offer, suit you.",160.25,0.694,0.10356,0.227347,0.181808,1574.06,hap,0.4391,0.0
test_0181,93.75,5,3.2,"infants, child seats, don't help.",161.49,0.3475,0.073239,0.187242,0.264721,2104.09,ang,0.9956,0.0
test_0182,152.54,30,11.8,"It's a waste of money. What I'm telling you is that these expensive, complicated choices. It's not simply that they don't help. They actually hurt. They actually make us worse.",175.33,0.4587,0.072353,0.17592,0.218308,1970.42,ang,0.6661,0.0667
test_0183,164.77,29,10.56,"off. If some of what enables people in our societies to make all of the choices we make, we're shifted to societies in which people have to few options.",168.92,0.4489,0.109977,0.17034,0.185827,1895.26,ang,0.8088,0.0
test_0184,164.06,28,10.24,"Not only with those people's lives being improved, but ours would be improved also. It's just why economists call a Pareto improving move. Income redistribution will make everyone.",165.42,0.4689,0.104045,0.20626,0.182182,1485.22,ang,0.6165,0.0
test_0185,161.68,18,6.68,"better off, not just poor people, because of how all this excess choice plays us. So to conclude.",193.43,0.7154,0.081444,0.367074,0.229962,1854.49,hap,0.4627,0.0556
test_0186,191.18,26,8.16,"You're supposed to read this cartoon and being a sophisticated person, say, what is this fish? No. You know, nothing is possible in this fish bowl.",173.97,0.496,0.108079,0.179282,0.190072,1940.5,hap,0.7269,0.0385
test_0187,232.39,33,8.52,"Improversed imagination, a myopic view of the world, and that's the way I read it at first. The more I thought about it, however, the more I came to the view that this...",174.89,0.5408,0.117426,0.153646,0.162736,1538.63,ang,0.6599,0.0
test_0188,154.98,28,10.84,"no something. Because the truth of the manner is that if you shatter the fish bowl so that everything is possible, you don't have freedom, you have paralysis.",170.8,0.3255,0.085434,0.181415,0.181258,1825.43,ang,0.9518,0.0357
test_0189,191.01,34,10.68,"So this is what the supermarket is like. And then you go to the Consumer Electronics Door to set up a stereo system, speakers, CD player, tape player, tuner, amplifier, and in this one.",162.56,0.4618,0.118574,0.165193,0.17215,1667.22,ang,0.6217,0.0588
test_0190,130.0,13,6.0,"If you shatter this fishbowl so that everything is possible, you decrease satisfaction.",170.62,0.4805,0.0927,0.174285,0.21883,2093.74,ang,0.8859,0.0769
test_0191,134.33,18,8.04,You increase paralysis and you decrease satisfaction. Everybody needs a fishbowl. This one is almost certainly too limited.,177.98,0.3435,0.107218,0.131745,0.19383,1975.91,ang,0.5515,0.0
test_0192,153.85,28,10.92,perhaps even for the fish certainly for us. But the absence of some metaphorical fishbowl is a recipe for misery and I suspect disaster. Thank you very much.,160.34,0.5615,0.068508,0.201761,0.195416,1911.45,ang,0.5753,0.0
test_0193,114.41,18,9.44,"single consumer electronics store, there are that many stereo systems. We can construct six and a half million.",199.73,0.6925,0.066143,0.262762,0.204901,1899.14,ang,0.9709,0.0
test_0194,175.78,30,10.24,"different stereo systems out of the components that are on offer in one store. You got to admit that's a lot of choice. In other domains, the world of communication.",191.48,0.6726,0.091093,0.24337,0.182122,1729.61,ang,0.4622,0.0
test_0195,234.01,50,12.82,"And there was a time when I was a boy when you could get any kind of telephone service you wanted as long as it came from Mobel. You rented your phone, you didn't buy it. One consequence of that, by the way, is that the phone never broke. And...",171.92,0.7286,0.098306,0.216905,0.174757,1372.3,neu,0.4872,0.0
test_0196,209.84,27,7.72,"Those days are gone. We now have an almost unlimited variety of phones, especially in the world of cell phones. These are cell phones of the future.",167.12,0.469,0.112551,0.181147,0.181039,1602.48,hap,0.6904,0.0
test_0197,161.39,17,6.32,"My favorite is the middle one, the MP3 player knows hair trimmer and cremberly torch. And if...",201.44,0.4617,0.126063,0.115413,0.170641,1541.95,hap,0.6681,0.0
test_0198,230.77,38,9.88,"If by some chance you haven't seen that in your store yet, you can rest assured that one day soon you will. And what this does is it leads people to walk into their store's asking this question.",193.38,0.4507,0.099472,0.096726,0.192666,1719.88,ang,0.8925,0.0
test_0199,265.71,31,7.0,I'm going to talk to you about some stuff that's in this book of mine that I hope will resonate with other things that you've already heard and I'll try to.,154.36,0.3713,0.135999,0.13397,0.1838,1447.44,ang,0.7761,0.0
test_0200,211.36,31,8.8,And do you know what the answer to this question now is? The answer is no. It is not possible to buy a cell phone that doesn't do too much. So...,215.71,0.6858,0.090309,0.311098,0.181026,1787.91,ang,0.8235,0.0645
test_0201,152.78,33,12.96,"In other aspects of life that are much more significant than buying things, the same explosion of choice is true. Healthcare. It is no longer the case in the United States that you...",190.12,0.6135,0.101682,0.210791,0.190684,1762.78,ang,0.8119,0.0
test_0202,246.58,36,8.76,"Go to the doctor and the doctor tells you what to do. Instead, you go to the doctor and the doctor tells you what we could do, or we could do B. A has these benefits.",168.46,0.431,0.110933,0.150045,0.186565,1579.93,ang,0.9919,0.0
test_0203,186.67,28,9.0,"and these risks. B has these benefits and these risks. What do you want to do? And you say, Doc, what should I do? And the doc says,",159.57,0.58,0.077224,0.248968,0.204001,1960.82,ang,0.9914,0.0
test_0204,202.42,39,11.56,"A has these benefits and risks, and B has these benefits of risks, what do you want to do? And you say, if you were me doc, what would you do? And the doc says, but I'm not you.",179.35,0.5083,0.086611,0.220484,0.182661,1756.96,ang,0.9702,0.0
test_0205,197.96,71,21.52,"And the result is we call it patient autonomy, which makes it sound like a good thing. But what it really is is a shifting of the burden and the responsibility for decision making. From somebody who knows something, namely the doctor, somebody who knows nothing and is almost certainly sick and thus not in the best shape to be making decisions, namely the patient. There's enormous marketing of prescription drugs.",166.29,0.5886,0.091218,0.215924,0.178216,1699.4,hap,0.6971,0.0141
test_0206,247.01,55,13.36,"to people like you and me, which if you think about it, makes no sense at all since we can't buy them. Why do they market to us if we can't buy them? The answer is that they expect us to call our doctors the next morning and ask for our prescriptions to be changed.",156.0,0.4005,0.088731,0.139031,0.176939,1705.41,ang,0.6283,0.0182
test_0207,117.07,16,8.2,something as dramatic as our identity is now become a matter of choice. As the slide.,163.31,0.5479,0.07488,0.20277,0.190035,1958.77,ang,0.9082,0.0
test_0208,235.29,48,12.24,"is meant to indicate. We get to, we don't inherit an identity, we get to invented, and we get to reinvent ourselves as often as we like. And that means that every day when you wake up in the morning, you have to decide what kind of person.",170.84,0.5293,0.096795,0.171998,0.141908,1573.73,ang,0.439,0.0208
test_0209,125.0,11,5.28,you want to be. In with respect to marriage and family.,170.62,0.5939,0.069566,0.141612,0.186756,1762.84,ang,0.4641,0.0
test_0210,188.57,22,7.0,make some connections myself in case the you miss them. But I want to start with what I call the official dogma.,170.95,0.6777,0.10793,0.248274,0.213353,1638.18,ang,0.7745,0.0
test_0211,197.64,39,11.84,"There was a time when the default assumption that almost everyone had is that you got married as soon as you could, and then you started having kids as soon as you could. The only real choice was who?",164.88,0.4384,0.08507,0.167326,0.171362,1719.12,neu,0.4533,0.0
test_0212,150.0,21,8.4,"not when and not what you did after. Nowadays, everything is very much up for grabs. I teach wonderfully intelligent students.",151.05,0.3912,0.087577,0.151349,0.185063,1724.86,ang,0.6658,0.0
test_0213,162.92,29,10.68,"And I assign 20% less work than I used to, and it's not because they're less smart, and it's not because they're less diligent, it's because they are preoccupied.",155.11,0.3473,0.102464,0.116852,0.205024,1690.74,ang,0.8086,0.0
test_0214,214.29,27,7.56,"asking themselves, should I get married or not? Should I get married now? Should I get married later? Should I have kids first or a career first?",165.43,0.4453,0.100321,0.19146,0.173215,1750.7,neu,0.4782,0.0
test_0215,217.11,44,12.16,"All of these are consuming questions. And they're going to answer these questions, whether or not it means not doing all the work I assign and not getting a good grade in my courses. And indeed, they should. These are important questions to answer.",167.91,0.5562,0.099948,0.189974,0.167589,1766.15,ang,0.4529,0.0
test_0216,153.97,31,12.08,"We are blessed as Carl is pointing out with the technology that enables us to work every minute of every day from any place on the planet, except the Randolph Hotel.",163.12,0.5589,0.091003,0.201884,0.191577,1747.75,ang,0.6708,0.0
test_0217,217.02,34,9.4,"There is one corner, by the way, that I'm not going to tell anybody about where you actually wear the Wi-Fi works. I'm not telling you about it because I want to use it.",163.08,0.5872,0.100217,0.171388,0.165424,1514.75,ang,0.7628,0.0294
test_0218,140.29,26,11.12,the official dogma of all Western industrial societies. And the official dogma runs like this. If we are interested in maximizing the welfare of our citizens.,174.29,0.6805,0.081583,0.208282,0.17453,1714.75,ang,0.5108,0.0385
test_0219,200.0,30,9.0,"So what this means, this incredible freedom of choice we have with respect to work, is that we have to make a decision again and again and again about whether",183.0,0.357,0.096489,0.148377,0.192879,1810.82,ang,0.8397,0.0333
test_0220,209.63,45,12.88,we should or shouldn't be working. We can go to watch our kid play soccer and we have our cell phone on one hip and our blackberry on our other hip and our laptop presumably on our laps and even if they're all shut off.,183.49,0.5023,0.092196,0.207176,0.169913,1597.96,ang,0.4288,0.0
test_0221,190.0,19,6.0,"Every minute that we're watching our kid mutilated soccer game, we are also asking ourselves, should I answer this?",168.76,0.3345,0.1276,0.102483,0.160261,1692.6,hap,0.5359,0.0
test_0222,223.96,43,11.52,"cell phone call, should I respond to this email? Should I draft this letter? And even if the answer to the question is no, it's certainly going to make the experience of your kid's soccer game very different than it would have been.",149.57,0.5371,0.099946,0.148474,0.179127,1717.98,ang,0.377,0.0
test_0223,149.28,31,12.46,"So everywhere we look, big things and small things, material things and lifestyle things, life is a matter of choice. And the world we used to live in looked like this.",172.8,0.5556,0.085275,0.184807,0.186129,1924.29,hap,0.5193,0.0645
test_0224,200.0,30,9.0,"That is to say there were some choices, but not everything was a matter of choice. And the world we now live in looks like this. And the question is...",182.02,0.4774,0.095099,0.122466,0.164899,1864.87,hap,0.7291,0.0333
test_0225,126.76,12,5.68,is this good news or bad news? And the answer is yes.,148.23,0.5805,0.050505,0.203615,0.190833,2301.61,ang,0.6073,0.0
test_0226,174.0,29,10.0,"We all know what's good about it, so I'm going to talk about what's bad about it. All of this choice has two effects, two negative effects on people.",186.68,0.5916,0.090585,0.238934,0.183514,1894.59,ang,0.9881,0.0345
test_0227,144.0,24,10.0,The way to do that is to maximize individual freedom. The reason for this is both that freedom is in and of itself good.,168.67,0.5924,0.064678,0.224621,0.199576,1830.22,ang,0.8886,0.0
test_0228,130.65,27,12.4,"One effect paradoxically is that it produces paralysis rather than liberation. With so many options to choose from, people find it very difficult to choose at all.",163.78,0.5743,0.069206,0.201761,0.195103,1978.15,ang,0.697,0.037
test_0229,143.38,26,10.88,"I'll give you one very dramatic example of this, a study that was done of investments in voluntary retirement plans. Colleg of mine got access to...",162.4,0.482,0.098926,0.135131,0.176069,1711.5,ang,0.4712,0.0
test_0230,162.69,25,9.22,"Investment records from Vanguard, the gigantic mutual fund company of about a million employees and about 2,000 different workplaces. And what she found is that...",155.81,0.3245,0.109888,0.106985,0.177208,1647.32,ang,0.6943,0.0
test_0231,121.62,15,7.4,"For every 10 mutual funds the employer offered, rate of participation went down to percent.",164.16,0.4601,0.079787,0.14592,0.213993,1844.29,ang,0.8705,0.0
test_0232,156.25,55,21.12,"You offer 50 funds, 10% fewer employees participate than if you only offer five. Why? Because with 50 funds to choose from, it's so damn hard to decide which front to choose that you'll just put it off to tomorrow. And then tomorrow and tomorrow and tomorrow and tomorrow and of course tomorrow never comes.",142.22,0.4548,0.084685,0.144924,0.185919,1776.61,ang,0.7231,0.0182
test_0233,216.87,48,13.28,understand that not only does this mean that people are going to have to eat dog food when they retire because they don't have enough money put away. It also means that making the decision is so hard that they pass up significant matching money from the employer.,174.92,0.4805,0.101543,0.192695,0.160591,1651.2,ang,0.882,0.0208
test_0234,180.0,42,14.0,"By not participating, they are passing up as much as $5,000 a year from the employer who would happily match their contribution. So paralysis is a consequence of having too many choices. And I think it makes the world look like this.",164.65,0.437,0.077371,0.165009,0.194565,1903.25,ang,0.8757,0.0476
test_0235,248.57,29,7.0,"You really want to get the decision right if it's for all eternity, right? You don't want to pick the wrong mutual fund or even the wrong salad drift.",149.7,0.3811,0.125741,0.103739,0.132921,1423.51,hap,0.6521,0.069
test_0236,196.31,39,11.92,"valuable worthwhile, essential to being human, and because if people have freedom, then each of us can act on our own to do the things that will maximize our welfare and no one has to decide on our behalf.",160.38,0.5902,0.102496,0.18353,0.173078,1446.21,ang,0.8263,0.0
test_0237,190.91,21,6.6,So that's one effect. The second effect is that even if we manage to overcome the paralysis and make it short.,183.17,0.3659,0.09165,0.141011,0.199404,1930.74,ang,0.6247,0.0476
test_0238,200.0,28,8.4,We end up less satisfied with the result of the choice than we would be if we had fewer options to choose from. And there are several reasons.,168.77,0.4514,0.105352,0.135078,0.172448,1855.67,ang,0.6725,0.0
test_0239,242.81,45,11.12,"One of them is that with a lot of different salad dressings to choose from, if you buy one, and it's not perfect, and what salad dressing is, it's easy to imagine that you could have made a different choice that would have been better.",182.44,0.4255,0.087115,0.147055,0.166009,1764.53,ang,0.4807,0.0
test_0240,196.81,37,11.28,"And what happens is this imagined alternative induces you to regret the decision you made, and this regret subtracts from the satisfaction you get out of the decision you made, even if it was a good decision.",161.01,0.405,0.070808,0.159675,0.177659,1876.11,hap,0.5428,0.0
test_0241,230.0,23,6.0,"The more options there are, the easier it is to regret anything at all that is disappointing about the option that you chose.",153.99,0.4055,0.120944,0.080131,0.159278,1595.88,ang,0.5916,0.0
test_0242,168.37,33,11.76,"Second, what economists call opportunity costs, Dan Gilbert made a big point this morning of talking about how much the way in which we value things depends on what we compare them to.",179.32,0.5509,0.07351,0.153609,0.190098,1659.86,ang,0.964,0.0
test_0243,142.86,22,9.24,"Well, when there are lots of alternatives to consider, it is easy to imagine the attractive features of alternatives that you reject.",184.56,0.5187,0.084256,0.178632,0.199045,1841.75,ang,0.6536,0.0
test_0244,195.65,15,4.6,that make it you less satisfied with the alternative that you've chosen. Here's an example.,175.62,0.6344,0.113344,0.178722,0.213625,1609.31,ang,0.7999,0.0
test_0245,263.16,10,2.28,"For those of you who aren't New Yorkers, I apologize.",143.66,0.4307,0.102029,0.16671,0.153562,1439.02,neu,0.8577,0.0
test_0246,149.01,30,12.08,"The way to maximize freedom is to maximize choice. The more choice people have, the more freedom they have, and the more freedom they have, the more welfare they have.",150.21,0.5657,0.069803,0.179891,0.174846,1660.41,ang,0.7644,0.0
test_0247,200.98,41,12.24,"But here's what you're supposed to be thinking. Here's a couple on the Hampton's very expensive real estate gorgeous, beach beautiful day. They have it all to themselves. What could be better? Well, damn it, this guy is thinking it's August.",175.98,0.2671,0.122366,0.091547,0.16267,1764.34,ang,0.9274,0.0
test_0248,162.42,17,6.28,Everybody in my Manhattan neighborhood is away. I could be parking right in front of my build.,165.32,0.4216,0.105026,0.172021,0.179865,1370.02,ang,0.9813,0.0588
test_0249,172.5,23,8.0,and he spends two weeks nangged by the idea that he is missing the opportunity day after day to have a great parking.,178.62,0.476,0.098041,0.173453,0.166034,1897.62,ang,0.9808,0.0
test_0250,183.81,28,9.14,Opportunity costs subtract from the satisfaction we get out of what we choose even when what we choose is terrific and the more options there are to consider,180.29,0.3535,0.100365,0.124861,0.187395,1926.78,ang,0.921,0.0
test_0251,185.19,20,6.48,The more attractive features of these options are going to be reflected by us as opportunity costs. Here's another example.,161.54,0.691,0.070919,0.237396,0.177376,1644.81,neu,0.4686,0.0
test_0252,198.21,37,11.2,Now this cartoon makes a lot of points. It makes points about living in the moment as well. And probably about doing things slowly. But one point it makes is that whenever you're choosing one thing you're...,177.64,0.3632,0.08803,0.099801,0.18279,1689.98,ang,0.715,0.0
test_0253,231.43,27,7.0,choosing not to do other things and those other things may have lots of attractive features and it's going to make what you're doing less attractive. Third.,155.04,0.3715,0.098819,0.135215,0.16661,1796.77,ang,0.4827,0.0
test_0254,206.67,31,9.0,escalation of expectations. This hit me when I went to replace my genes. I wear genes almost all the time and there was a time when genes came in one flavor.,161.88,0.2525,0.112231,0.091037,0.189022,1830.77,hap,0.7548,0.0
test_0255,260.0,52,12.0,"and you bought them and they fit like crap and they were incredibly uncomfortable and if you wore them long enough and wash them enough times, they started to fit feel okay. So I went to replace my jeans after years and years of wearing these old ones and I said I-",166.9,0.5404,0.090196,0.189487,0.183448,1523.79,hap,0.4783,0.0385
test_0256,130.43,28,12.88,"This, I think, is so deeply embedded in the water supply that it wouldn't occur to anyone to question it. And it's also deeply embedded in our lives.",159.43,0.5958,0.101745,0.229644,0.169633,1746.05,ang,0.7558,0.0357
test_0257,228.92,76,19.92,"You know, go on a pair of jeans, here's my size. And the shopkeeper said, do you want slim fit, easy fit, relaxed fit? You want button fly or zipper fly? You want stone washed or acid washed? You want them distressed? You want boot cut? You want tapered blah blah, on it? And he went, my jaw dropped? And after I recovered, I said, I want the kind that used to be the only kind.",164.19,0.4752,0.091867,0.144712,0.191703,1645.91,ang,0.804,0.0132
test_0258,201.92,42,12.48,So I spent an hour trying on all these damn jeans and I walked out of the store truth with the best fitting jeans I had ever had I did better all this choice made it possible for me to do better,189.34,0.4085,0.102036,0.158955,0.180758,1715.72,ang,0.9351,0.0238
test_0259,143.54,20,8.36,"But I felt worse. Why? And we're a whole book to try to explain this to myself. The reason is,",180.55,0.5102,0.080734,0.24155,0.191804,2009.29,ang,0.9948,0.0
test_0260,156.0,26,10.0,"The reason I felt worse is that with all of these options available, my expectations about how good a pair of jeans should be went up.",186.83,0.4927,0.108028,0.202678,0.203237,1796.32,ang,0.9183,0.0
test_0261,215.57,48,13.36,"I had very low expectations when they only came in one flavor, when they came in 100 flavors, damn it, one of them should have been perfect. And when I got was good, but it wasn't perfect. And so I compared what I got to what I expected.",178.69,0.4763,0.077839,0.142699,0.181863,1644.4,ang,0.7354,0.0208
test_0262,189.59,17,5.38,and what I got was disappointing in comparison to what I expected. Adding options to people's lives.,170.14,0.5101,0.092716,0.155533,0.174319,1800.83,ang,0.8636,0.0
test_0263,169.81,39,13.78,can't help but increase the expectations people have about how good those options will be and what that's going to produce is less satisfaction with results even when they're good results. Nobody in the world of marketing knows this.,172.31,0.4357,0.085752,0.158591,0.197836,1889.16,ang,0.7395,0.0
test_0264,169.12,23,8.16,I'll give you some examples of what modern progress has made possible for us. This is my supermarket. Not such a big one.,170.77,0.6631,0.088159,0.276859,0.201298,1697.58,ang,0.4713,0.0
test_0265,212.12,14,3.96,You wouldn't all know what this was about. The truth is more like this.,190.76,0.4941,0.13485,0.199261,0.176275,1964.45,ang,0.7407,0.0714
test_0266,184.16,31,10.1,"The reason that everything was better back when everything was worse is that when everything was worse, it was actually possible for people to have experiences that were a pleasant surprise.",184.22,0.4483,0.09411,0.159879,0.183985,1778.64,ang,0.8611,0.0323
test_0267,175.78,30,10.24,"Nowadays, the world we live in, we affluent industrialized citizens, with perfection, the expectation, the best you can ever hope for, is that stuff is as good as you expect.",169.3,0.5362,0.08296,0.161112,0.195412,1818.52,hap,0.5837,0.0
test_0268,155.49,34,13.12,"You will never be pleasantly surprised because your expectations, my expectations, have gone through the roof. The secret to happiness. This is what you all came for. The secret to happiness is low expectation.",151.88,0.5721,0.052038,0.17195,0.198726,1988.55,hap,0.664,0.0
test_0269,150.0,38,15.2,I want to say just a little autobiographical moment that I actually married to a wife and she's really quite wonderful. I couldn't have done better. I didn't settle. But settling isn't always such a bad thing. Finally.,161.49,0.498,0.096351,0.158165,0.180906,1608.09,hap,0.6269,0.0263
test_0270,196.88,42,12.8,"One consequence of buying a bad fitting pair of jeans when there is only one kind to buy is that when you are dissatisfied and you ask why, who's responsible? The answer is clear, the world is responsible. What could you do?",171.21,0.3655,0.115403,0.144532,0.170009,1735.99,ang,0.9122,0.0
test_0271,173.84,35,12.08,"when there are hundreds of different styles of genes available, and you buy one that is disappointing, and you ask, why, who's responsible? It is equally clear that the answer to the question is you.",172.76,0.4552,0.090764,0.163768,0.178928,1813.14,ang,0.8834,0.0
test_0272,161.68,36,13.36,"the Industrial Revolution, and even in the 1900s, we've seen a very rapid decline in the price of electricity. That's why we have refrigerators, air conditioning. We can make modern materials and do so many things.",180.46,0.3974,0.094005,0.12553,0.206906,1635.55,neu,0.3967,0.0278
